P0 1000.0
u0 1000.0
v0 0.0
T0 300.0
gam 1.4
accur 0
iaxi 1
ivisc 0
niter 100000
cfl 0.1
tol 0.000001
printiter 1
saveiter 1000
damp 0.9
duscale 0.5
mxangle (not imp)0.0
==================== Loading Mesh ====================
Reading Mesh File..... 
::  0:: Scanning Headers
::  0:: (nx,ny)=(121, 81), Now Scanning Nodes....
::  0:: Scanning BCs
Reading Block Connectivity File..... 
::  0:: opened conn file 
::  0::Calculating Grid Metrics..... 
==================== Initializing ====================
===== Generating Mesh and Initial State Tecplot Files ====
==================== Starting Solver ====================
Iter:      0	dt:4.6378e-08 		 RelativeTotalResisual:  1.00000e+00 
Iter:      1	dt:4.6378e-08 		 RelativeTotalResisual:  9.95865e-01 
Iter:      2	dt:4.6378e-08 		 RelativeTotalResisual:  9.91734e-01 
Iter:      3	dt:4.6378e-08 		 RelativeTotalResisual:  9.87610e-01 
Iter:      4	dt:4.6378e-08 		 RelativeTotalResisual:  9.83498e-01 
Iter:      5	dt:4.6378e-08 		 RelativeTotalResisual:  9.79398e-01 
Iter:      6	dt:4.6378e-08 		 RelativeTotalResisual:  9.75314e-01 
Iter:      7	dt:4.6378e-08 		 RelativeTotalResisual:  9.71248e-01 
Iter:      8	dt:4.6378e-08 		 RelativeTotalResisual:  9.67200e-01 
Iter:      9	dt:4.6378e-08 		 RelativeTotalResisual:  9.63173e-01 
Iter:     10	dt:4.6378e-08 		 RelativeTotalResisual:  9.59168e-01 
Iter:     11	dt:4.6378e-08 		 RelativeTotalResisual:  9.55185e-01 
Iter:     12	dt:4.6378e-08 		 RelativeTotalResisual:  9.51227e-01 
Iter:     13	dt:4.6378e-08 		 RelativeTotalResisual:  9.47293e-01 
Iter:     14	dt:4.6378e-08 		 RelativeTotalResisual:  9.43385e-01 
Iter:     15	dt:4.6378e-08 		 RelativeTotalResisual:  9.39503e-01 
Iter:     16	dt:4.6378e-08 		 RelativeTotalResisual:  9.35648e-01 
Iter:     17	dt:4.6378e-08 		 RelativeTotalResisual:  9.31820e-01 
Iter:     18	dt:4.6378e-08 		 RelativeTotalResisual:  9.28019e-01 
Iter:     19	dt:4.6378e-08 		 RelativeTotalResisual:  9.24247e-01 
Iter:     20	dt:4.6378e-08 		 RelativeTotalResisual:  9.20503e-01 
Iter:     21	dt:4.6378e-08 		 RelativeTotalResisual:  9.16787e-01 
Iter:     22	dt:4.6378e-08 		 RelativeTotalResisual:  9.13100e-01 
Iter:     23	dt:4.6378e-08 		 RelativeTotalResisual:  9.09442e-01 
Iter:     24	dt:4.6378e-08 		 RelativeTotalResisual:  9.05813e-01 
Iter:     25	dt:4.6378e-08 		 RelativeTotalResisual:  9.02213e-01 
Iter:     26	dt:4.6378e-08 		 RelativeTotalResisual:  8.98642e-01 
Iter:     27	dt:4.6378e-08 		 RelativeTotalResisual:  8.95100e-01 
Iter:     28	dt:4.6378e-08 		 RelativeTotalResisual:  8.91587e-01 
Iter:     29	dt:4.6378e-08 		 RelativeTotalResisual:  8.88103e-01 
Iter:     30	dt:4.6378e-08 		 RelativeTotalResisual:  8.84649e-01 
Iter:     31	dt:4.6378e-08 		 RelativeTotalResisual:  8.81223e-01 
Iter:     32	dt:4.6378e-08 		 RelativeTotalResisual:  8.77826e-01 
Iter:     33	dt:4.6378e-08 		 RelativeTotalResisual:  8.74458e-01 
Iter:     34	dt:4.6378e-08 		 RelativeTotalResisual:  8.71119e-01 
Iter:     35	dt:4.6378e-08 		 RelativeTotalResisual:  8.67808e-01 
Iter:     36	dt:4.6378e-08 		 RelativeTotalResisual:  8.64526e-01 
Iter:     37	dt:4.6378e-08 		 RelativeTotalResisual:  8.61272e-01 
Iter:     38	dt:4.6378e-08 		 RelativeTotalResisual:  8.58046e-01 
Iter:     39	dt:4.6378e-08 		 RelativeTotalResisual:  8.54848e-01 
Iter:     40	dt:4.6378e-08 		 RelativeTotalResisual:  8.51678e-01 
Iter:     41	dt:4.6378e-08 		 RelativeTotalResisual:  8.48536e-01 
Iter:     42	dt:4.6378e-08 		 RelativeTotalResisual:  8.45421e-01 
Iter:     43	dt:4.6378e-08 		 RelativeTotalResisual:  8.42334e-01 
Iter:     44	dt:4.6378e-08 		 RelativeTotalResisual:  8.39273e-01 
Iter:     45	dt:4.6378e-08 		 RelativeTotalResisual:  8.36240e-01 
Iter:     46	dt:4.6378e-08 		 RelativeTotalResisual:  8.33233e-01 
Iter:     47	dt:4.6378e-08 		 RelativeTotalResisual:  8.30253e-01 
Iter:     48	dt:4.6378e-08 		 RelativeTotalResisual:  8.27299e-01 
