==================== Loading Mesh ====================
Reading Mesh File..... 
::  0:: Scanning Headers
::  0:: (nx,ny)=(140, 41), Now Scanning Nodes....
::  0:: Scanning BCs
Reading Block Connectivity File..... 
::  0:: opened conn file 
::  0::Calculating Grid Metrics..... 
==================== Initializing ====================
===== Generating Mesh and Initial State Tecplot Files ====
==================== Starting Solver ====================
Iter:      0	dt:1.2280e-07 		 RelativeTotalResisual:  1.00000e+00 	 damp:0.950000, duscale:0.700000
Iter:      1	dt:1.2354e-07 		 RelativeTotalResisual:  9.74960e-01 	 damp:0.950000, duscale:0.700000
Iter:      2	dt:1.2807e-07 		 RelativeTotalResisual:  9.50436e-01 	 damp:0.950000, duscale:0.700000
Iter:      3	dt:1.3254e-07 		 RelativeTotalResisual:  9.30135e-01 	 damp:0.950000, duscale:0.700000
Iter:      4	dt:1.3666e-07 		 RelativeTotalResisual:  9.13596e-01 	 damp:0.950000, duscale:0.700000
Iter:      5	dt:1.4029e-07 		 RelativeTotalResisual:  9.02362e-01 	 damp:0.950000, duscale:0.700000
Iter:      6	dt:1.4344e-07 		 RelativeTotalResisual:  8.95325e-01 	 damp:0.950000, duscale:0.700000
Iter:      7	dt:1.4619e-07 		 RelativeTotalResisual:  8.93300e-01 	 damp:0.950000, duscale:0.700000
Iter:      8	dt:1.4865e-07 		 RelativeTotalResisual:  8.96539e-01 	 damp:0.950000, duscale:0.700000
Iter:      9	dt:1.5087e-07 		 RelativeTotalResisual:  9.02081e-01 	 damp:0.950000, duscale:0.700000
Iter:     10	dt:1.5293e-07 		 RelativeTotalResisual:  9.10131e-01 	 damp:0.950000, duscale:0.700000
Iter:     11	dt:1.5487e-07 		 RelativeTotalResisual:  9.19822e-01 	 damp:0.950000, duscale:0.700000
Iter:     12	dt:1.5673e-07 		 RelativeTotalResisual:  9.30816e-01 	 damp:0.950000, duscale:0.700000
Iter:     13	dt:1.5853e-07 		 RelativeTotalResisual:  9.42269e-01 	 damp:0.950000, duscale:0.700000
Iter:     14	dt:1.6031e-07 		 RelativeTotalResisual:  9.53703e-01 	 damp:0.950000, duscale:0.700000
Iter:     15	dt:1.6207e-07 		 RelativeTotalResisual:  9.64683e-01 	 damp:0.950000, duscale:0.700000
Iter:     16	dt:1.6378e-07 		 RelativeTotalResisual:  9.75122e-01 	 damp:0.950000, duscale:0.700000
Iter:     17	dt:1.6546e-07 		 RelativeTotalResisual:  9.84963e-01 	 damp:0.950000, duscale:0.700000
Iter:     18	dt:1.6708e-07 		 RelativeTotalResisual:  9.94200e-01 	 damp:0.950000, duscale:0.700000
Iter:     19	dt:1.6865e-07 		 RelativeTotalResisual:  1.00284e+00 	 damp:0.950000, duscale:0.700000
Iter:     20	dt:1.7016e-07 		 RelativeTotalResisual:  1.01122e+00 	 damp:0.950000, duscale:0.700000
Iter:     21	dt:1.7162e-07 		 RelativeTotalResisual:  1.01931e+00 	 damp:0.950000, duscale:0.700000
