301 21
-5.000000000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-5.000000000000000e-01 3.079400000000000e-01 0.000000000000000e+00
-5.000000000000000e-01 3.139898338991421e-01 0.000000000000000e+00
-5.000000000000000e-01 3.201397494994855e-01 0.000000000000000e+00
-5.000000000000000e-01 3.264408258466570e-01 0.000000000000000e+00
-5.000000000000000e-01 3.329453974745182e-01 0.000000000000000e+00
-5.000000000000000e-01 3.397074890774802e-01 0.000000000000000e+00
-5.000000000000000e-01 3.467832642206982e-01 0.000000000000000e+00
-5.000000000000000e-01 3.542314918149785e-01 0.000000000000000e+00
-5.000000000000000e-01 3.621140342307746e-01 0.000000000000000e+00
-5.000000000000000e-01 3.704963611053752e-01 0.000000000000000e+00
-5.000000000000000e-01 3.794480931107876e-01 0.000000000000000e+00
-5.000000000000000e-01 3.890435801986625e-01 0.000000000000000e+00
-5.000000000000000e-01 3.993625191249595e-01 0.000000000000000e+00
-5.000000000000000e-01 4.104906153832958e-01 0.000000000000000e+00
-5.000000000000000e-01 4.225202950447687e-01 0.000000000000000e+00
-5.000000000000000e-01 4.355514724165381e-01 0.000000000000000e+00
-5.000000000000000e-01 4.496923798950785e-01 0.000000000000000e+00
-5.000000000000000e-01 4.650604669065670e-01 0.000000000000000e+00
-5.000000000000000e-01 4.817833754006932e-01 0.000000000000000e+00
-5.000000000000000e-01 5.000000000000000e-01 0.000000000000000e+00
-4.955020000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.955020000000000e-01 3.079246666666667e-01 0.000000000000000e+00
-4.955020000000000e-01 3.139591938166720e-01 0.000000000000000e+00
-4.955020000000000e-01 3.200938624134968e-01 0.000000000000000e+00
-4.955020000000000e-01 3.263797981357403e-01 0.000000000000000e+00
-4.955020000000001e-01 3.328694031637811e-01 0.000000000000000e+00
-4.955019999999999e-01 3.396167993998325e-01 0.000000000000000e+00
-4.955020000000000e-01 3.466782871323700e-01 0.000000000000000e+00
-4.955019999999999e-01 3.541128233321379e-01 0.000000000000000e+00
-4.955019999999999e-01 3.619825239935203e-01 0.000000000000000e+00
-4.955020000000001e-01 3.703531952165324e-01 0.000000000000000e+00
-4.955019999999999e-01 3.792948980667457e-01 0.000000000000000e+00
-4.955020000000000e-01 3.888825526602229e-01 0.000000000000000e+00
-4.955020000000000e-01 3.991965874067314e-01 0.000000000000000e+00
-4.955019999999998e-01 4.103236399178157e-01 0.000000000000000e+00
-4.955020000000000e-01 4.223573167596474e-01 0.000000000000000e+00
-4.955019999999999e-01 4.353990200196545e-01 0.000000000000000e+00
-4.955019999999999e-01 4.495588495796896e-01 0.000000000000000e+00
-4.955019999999999e-01 4.649565910698333e-01 0.000000000000000e+00
-4.955019999999999e-01 4.817228007435260e-01 0.000000000000000e+00
-4.955019999999999e-01 5.000000000000000e-01 0.000000000000000e+00
-4.910040000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.910040000000000e-01 3.079093333333334e-01 0.000000000000000e+00
-4.910040000000000e-01 3.139285537342018e-01 0.000000000000000e+00
-4.910039999999999e-01 3.200479753275082e-01 0.000000000000000e+00
-4.910039999999999e-01 3.263187704248236e-01 0.000000000000000e+00
-4.910039999999999e-01 3.327934088530441e-01 0.000000000000000e+00
-4.910039999999999e-01 3.395261097221848e-01 0.000000000000000e+00
-4.910040000000001e-01 3.465733100440418e-01 0.000000000000000e+00
-4.910040000000000e-01 3.539941548492972e-01 0.000000000000000e+00
-4.910040000000001e-01 3.618510137562659e-01 0.000000000000000e+00
-4.910040000000001e-01 3.702100293276894e-01 0.000000000000000e+00
-4.910040000000001e-01 3.791417030227039e-01 0.000000000000000e+00
-4.910040000000000e-01 3.887215251217830e-01 0.000000000000000e+00
-4.910040000000000e-01 3.990306556885034e-01 0.000000000000000e+00
-4.910040000000000e-01 4.101566644523357e-01 0.000000000000000e+00
-4.910039999999999e-01 4.221943384745260e-01 0.000000000000000e+00
-4.910039999999998e-01 4.352465676227708e-01 0.000000000000000e+00
-4.910039999999998e-01 4.494253192643008e-01 0.000000000000000e+00
-4.910039999999998e-01 4.648527152330997e-01 0.000000000000000e+00
-4.910039999999999e-01 4.816622260863586e-01 0.000000000000000e+00
-4.910039999999999e-01 5.000000000000000e-01 0.000000000000000e+00
-4.865060000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.865060000000000e-01 3.078940000000000e-01 0.000000000000000e+00
-4.865059999999999e-01 3.138979136517315e-01 0.000000000000000e+00
-4.865059999999999e-01 3.200020882415195e-01 0.000000000000000e+00
-4.865060000000000e-01 3.262577427139067e-01 0.000000000000000e+00
-4.865059999999999e-01 3.327174145423070e-01 0.000000000000000e+00
-4.865060000000000e-01 3.394354200445371e-01 0.000000000000000e+00
-4.865059999999999e-01 3.464683329557137e-01 0.000000000000000e+00
-4.865059999999999e-01 3.538754863664566e-01 0.000000000000000e+00
-4.865060000000001e-01 3.617195035190115e-01 0.000000000000000e+00
-4.865059999999999e-01 3.700668634388464e-01 0.000000000000000e+00
-4.865059999999998e-01 3.789885079786620e-01 0.000000000000000e+00
-4.865059999999999e-01 3.885604975833433e-01 0.000000000000000e+00
-4.865059999999999e-01 3.988647239702753e-01 0.000000000000000e+00
-4.865059999999999e-01 4.099896889868556e-01 0.000000000000000e+00
-4.865059999999999e-01 4.220313601894047e-01 0.000000000000000e+00
-4.865059999999999e-01 4.350941152258872e-01 0.000000000000000e+00
-4.865059999999998e-01 4.492917889489120e-01 0.000000000000000e+00
-4.865059999999999e-01 4.647488393963660e-01 0.000000000000000e+00
-4.865059999999998e-01 4.816016514291911e-01 0.000000000000000e+00
-4.865059999999998e-01 5.000000000000000e-01 0.000000000000000e+00
-4.820080000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.820080000000000e-01 3.078786666666667e-01 0.000000000000000e+00
-4.820080000000000e-01 3.138672735692615e-01 0.000000000000000e+00
-4.820080000000000e-01 3.199562011555309e-01 0.000000000000000e+00
-4.820079999999999e-01 3.261967150029901e-01 0.000000000000000e+00
-4.820079999999998e-01 3.326414202315701e-01 0.000000000000000e+00
-4.820079999999998e-01 3.393447303668894e-01 0.000000000000000e+00
-4.820079999999999e-01 3.463633558673854e-01 0.000000000000000e+00
-4.820079999999998e-01 3.537568178836160e-01 0.000000000000000e+00
-4.820079999999998e-01 3.615879932817572e-01 0.000000000000000e+00
-4.820079999999998e-01 3.699236975500035e-01 0.000000000000000e+00
-4.820079999999999e-01 3.788353129346202e-01 0.000000000000000e+00
-4.820079999999999e-01 3.883994700449036e-01 0.000000000000000e+00
-4.820079999999998e-01 3.986987922520473e-01 0.000000000000000e+00
-4.820079999999998e-01 4.098227135213754e-01 0.000000000000000e+00
-4.820079999999998e-01 4.218683819042834e-01 0.000000000000000e+00
-4.820079999999998e-01 4.349416628290036e-01 0.000000000000000e+00
-4.820079999999998e-01 4.491582586335232e-01 0.000000000000000e+00
-4.820079999999998e-01 4.646449635596323e-01 0.000000000000000e+00
-4.820079999999997e-01 4.815410767720240e-01 0.000000000000000e+00
-4.820079999999997e-01 5.000000000000000e-01 0.000000000000000e+00
-4.775100000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.775100000000000e-01 3.078633333333333e-01 0.000000000000000e+00
-4.775100000000000e-01 3.138366334867912e-01 0.000000000000000e+00
-4.775099999999999e-01 3.199103140695422e-01 0.000000000000000e+00
-4.775099999999999e-01 3.261356872920733e-01 0.000000000000000e+00
-4.775099999999999e-01 3.325654259208329e-01 0.000000000000000e+00
-4.775100000000000e-01 3.392540406892417e-01 0.000000000000000e+00
-4.775099999999999e-01 3.462583787790574e-01 0.000000000000000e+00
-4.775099999999999e-01 3.536381494007753e-01 0.000000000000000e+00
-4.775099999999998e-01 3.614564830445027e-01 0.000000000000000e+00
-4.775099999999998e-01 3.697805316611608e-01 0.000000000000000e+00
-4.775099999999998e-01 3.786821178905784e-01 0.000000000000000e+00
-4.775099999999999e-01 3.882384425064639e-01 0.000000000000000e+00
-4.775099999999999e-01 3.985328605338193e-01 0.000000000000000e+00
-4.775099999999999e-01 4.096557380558956e-01 0.000000000000000e+00
-4.775100000000000e-01 4.217054036191621e-01 0.000000000000000e+00
-4.775099999999999e-01 4.347892104321200e-01 0.000000000000000e+00
-4.775099999999998e-01 4.490247283181342e-01 0.000000000000000e+00
-4.775099999999998e-01 4.645410877228987e-01 0.000000000000000e+00
-4.775099999999998e-01 4.814805021148566e-01 0.000000000000000e+00
-4.775099999999998e-01 5.000000000000000e-01 0.000000000000000e+00
-4.730120000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.730120000000000e-01 3.078480000000001e-01 0.000000000000000e+00
-4.730120000000000e-01 3.138059934043210e-01 0.000000000000000e+00
-4.730120000000000e-01 3.198644269835536e-01 0.000000000000000e+00
-4.730120000000000e-01 3.260746595811566e-01 0.000000000000000e+00
-4.730120000000000e-01 3.324894316100958e-01 0.000000000000000e+00
-4.730120000000000e-01 3.391633510115940e-01 0.000000000000000e+00
-4.730119999999999e-01 3.461534016907291e-01 0.000000000000000e+00
-4.730120000000000e-01 3.535194809179347e-01 0.000000000000000e+00
-4.730119999999999e-01 3.613249728072483e-01 0.000000000000000e+00
-4.730120000000000e-01 3.696373657723178e-01 0.000000000000000e+00
-4.730120000000000e-01 3.785289228465365e-01 0.000000000000000e+00
-4.730120000000000e-01 3.880774149680240e-01 0.000000000000000e+00
-4.730120000000000e-01 3.983669288155912e-01 0.000000000000000e+00
-4.730120000000000e-01 4.094887625904155e-01 0.000000000000000e+00
-4.730120000000000e-01 4.215424253340408e-01 0.000000000000000e+00
-4.730120000000000e-01 4.346367580352364e-01 0.000000000000000e+00
-4.730120000000000e-01 4.488911980027454e-01 0.000000000000000e+00
-4.730120000000000e-01 4.644372118861649e-01 0.000000000000000e+00
-4.730120000000000e-01 4.814199274576892e-01 0.000000000000000e+00
-4.730120000000000e-01 5.000000000000000e-01 0.000000000000000e+00
-4.685140000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.685139999999999e-01 3.078326666666666e-01 0.000000000000000e+00
-4.685140000000000e-01 3.137753533218509e-01 0.000000000000000e+00
-4.685140000000000e-01 3.198185398975649e-01 0.000000000000000e+00
-4.685140000000000e-01 3.260136318702401e-01 0.000000000000000e+00
-4.685139999999999e-01 3.324134372993589e-01 0.000000000000000e+00
-4.685140000000000e-01 3.390726613339464e-01 0.000000000000000e+00
-4.685139999999999e-01 3.460484246024010e-01 0.000000000000000e+00
