60 50
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
0.000000000000000e+00 1.632653061224490e-04 0.000000000000000e+00
0.000000000000000e+00 3.265306122448980e-04 0.000000000000000e+00
0.000000000000000e+00 4.897959183673469e-04 0.000000000000000e+00
0.000000000000000e+00 6.530612244897959e-04 0.000000000000000e+00
0.000000000000000e+00 8.163265306122449e-04 0.000000000000000e+00
0.000000000000000e+00 9.795918367346938e-04 0.000000000000000e+00
0.000000000000000e+00 1.142857142857143e-03 0.000000000000000e+00
0.000000000000000e+00 1.306122448979592e-03 0.000000000000000e+00
0.000000000000000e+00 1.469387755102041e-03 0.000000000000000e+00
0.000000000000000e+00 1.632653061224490e-03 0.000000000000000e+00
0.000000000000000e+00 1.795918367346939e-03 0.000000000000000e+00
0.000000000000000e+00 1.959183673469388e-03 0.000000000000000e+00
0.000000000000000e+00 2.122448979591837e-03 0.000000000000000e+00
0.000000000000000e+00 2.285714285714286e-03 0.000000000000000e+00
0.000000000000000e+00 2.448979591836735e-03 0.000000000000000e+00
0.000000000000000e+00 2.612244897959184e-03 0.000000000000000e+00
0.000000000000000e+00 2.775510204081633e-03 0.000000000000000e+00
0.000000000000000e+00 2.938775510204081e-03 0.000000000000000e+00
0.000000000000000e+00 3.102040816326531e-03 0.000000000000000e+00
0.000000000000000e+00 3.265306122448980e-03 0.000000000000000e+00
0.000000000000000e+00 3.428571428571428e-03 0.000000000000000e+00
0.000000000000000e+00 3.591836734693878e-03 0.000000000000000e+00
0.000000000000000e+00 3.755102040816327e-03 0.000000000000000e+00
0.000000000000000e+00 3.918367346938775e-03 0.000000000000000e+00
0.000000000000000e+00 4.081632653061225e-03 0.000000000000000e+00
0.000000000000000e+00 4.244897959183674e-03 0.000000000000000e+00
0.000000000000000e+00 4.408163265306122e-03 0.000000000000000e+00
0.000000000000000e+00 4.571428571428572e-03 0.000000000000000e+00
0.000000000000000e+00 4.734693877551020e-03 0.000000000000000e+00
0.000000000000000e+00 4.897959183673469e-03 0.000000000000000e+00
0.000000000000000e+00 5.061224489795919e-03 0.000000000000000e+00
0.000000000000000e+00 5.224489795918367e-03 0.000000000000000e+00
0.000000000000000e+00 5.387755102040816e-03 0.000000000000000e+00
0.000000000000000e+00 5.551020408163266e-03 0.000000000000000e+00
0.000000000000000e+00 5.714285714285714e-03 0.000000000000000e+00
0.000000000000000e+00 5.877551020408163e-03 0.000000000000000e+00
0.000000000000000e+00 6.040816326530613e-03 0.000000000000000e+00
0.000000000000000e+00 6.204081632653061e-03 0.000000000000000e+00
0.000000000000000e+00 6.367346938775510e-03 0.000000000000000e+00
0.000000000000000e+00 6.530612244897959e-03 0.000000000000000e+00
0.000000000000000e+00 6.693877551020408e-03 0.000000000000000e+00
0.000000000000000e+00 6.857142857142857e-03 0.000000000000000e+00
0.000000000000000e+00 7.020408163265306e-03 0.000000000000000e+00
0.000000000000000e+00 7.183673469387755e-03 0.000000000000000e+00
0.000000000000000e+00 7.346938775510204e-03 0.000000000000000e+00
0.000000000000000e+00 7.510204081632653e-03 0.000000000000000e+00
0.000000000000000e+00 7.673469387755102e-03 0.000000000000000e+00
0.000000000000000e+00 7.836734693877551e-03 0.000000000000000e+00
0.000000000000000e+00 8.000000000000000e-03 0.000000000000000e+00
1.000000000000001e-03 0.000000000000000e+00 0.000000000000000e+00
9.997187288562678e-04 1.678456390357829e-04 0.000000000000000e+00
9.988070106123211e-04 3.347885040453737e-04 0.000000000000000e+00
9.976692273132109e-04 5.012557322841297e-04 0.000000000000000e+00
9.965146785091712e-04 6.674194023606796e-04 0.000000000000000e+00
9.954685478031997e-04 8.334713880732987e-04 0.000000000000000e+00
